OID_,name,code,Population,Shape_Leng,Shape_Area
318,Strathkinness,S20001999,790.000000000000000,4457.585195201160786,286043.513008751033340
319,Abernethy,S20001545,1390.000000000000000,6121.432520829185705,719291.089019489241764
320,Muthill,S20001901,730.000000000000000,4071.550199497024096,378433.860458194569219
321,St Andrews,S20001982,18410.000000000000000,19189.648420449531841,4922169.361505641601980
322,Bridge of Earn,S20001607,2920.000000000000000,9271.246472542108677,1173455.763877977617085
323,Newburgh (Fife),S20001911,2110.000000000000000,6449.252518908677303,635585.693579101818614
324,Forgandenny,S20001735,560.000000000000000,4986.476981153467023,346210.391222378006205
325,Balmullo,S20001583,1320.000000000000000,3805.757484218052468,626494.840112568344921
326,St Madoes and Glencarse,S20001987,1110.000000000000000,4825.918402865420830,419446.119181144400500
327,Leuchars and Guardbridge,S20001852,4000.000000000000000,18117.630674739204551,1661807.026379683753476
328,Comrie (Perth and Kinross),S20001648,1900.000000000000000,9483.109886389320309,1272243.558679464971647
329,Crieff,S20001657,7280.000000000000000,15560.875902251973457,3409228.926173988264054
330,Errol,S20001720,1490.000000000000000,3006.286659657734617,431594.981034195516258
331,Gauldry,S20001754,650.000000000000000,5068.790352976870054,425463.268263098376337
332,Methven,S20001885,1300.000000000000000,7741.758378690706195,787576.099876558524556
