year,commodity,port,value,type,unit,quantity
1813,Broadcloth,Madras,49055,export,cloths,2455
1813,Broadcloth,Bombay,76844,export,cloths,3821
1813,Broadcloth,St_Helena,2037,export,cloths,64
1813,Broadcloth,Benkulen,4037,export,cloths,180
1813,Broadcloth,China,191996,export,cloths,7610
1813,Broadcloth,Angola,0,export,cloths,0
1813,Broadcloth,Penang,9625,export,cloths,474
1813,Broadcloth,Java,1985,export,cloths,67
1814,Broadcloth,Bengal,0,export,cloths,0
1814,Broadcloth,Madras,30194,export,cloths,2022
1814,Broadcloth,Bombay,63874,export,cloths,3327
1814,Broadcloth,St_Helena,1028,export,cloths,36
1814,Broadcloth,Benkulen,0,export,cloths,0
1814,Broadcloth,China,218166,export,cloths,8603
1814,Broadcloth,Angola,0,export,cloths,0
1814,Broadcloth,Penang,8798,export,cloths,397
1814,Broadcloth,Java,4460,export,cloths,165
1815,Broadcloth,Bengal,91093,export,cloths,5450
1815,Broadcloth,Madras,12528,export,cloths,619
1815,Broadcloth,Bombay,65105,export,cloths,3020
1815,Broadcloth,St_Helena,0,export,cloths,0
1815,Broadcloth,Benkulen,0,export,cloths,0
1815,Broadcloth,China,223481,export,cloths,8264
1815,Broadcloth,Angola,0,export,cloths,0
1815,Broadcloth,Penang,0,export,cloths,0
1815,Broadcloth,Java,0,export,cloths,0
1816,Broadcloth,Bengal,26633,export,cloths,1232
1816,Broadcloth,Madras,8190,export,cloths,274
1816,Broadcloth,Bombay,44395,export,cloths,2150
1816,Broadcloth,St_Helena,0,export,cloths,0
1816,Broadcloth,Benkulen,0,export,cloths,0
1816,Broadcloth,China,266749,export,cloths,10788
1816,Broadcloth,Angola,0,export,cloths,0
1816,Broadcloth,Penang,0,export,cloths,0
1816,Broadcloth,Java,0,export,cloths,0
1817,Broadcloth,Bengal,83160,export,cloths,3818
1817,Broadcloth,Madras,172,export,cloths,9
1817,Broadcloth,Bombay,36574,export,cloths,1716
1817,Broadcloth,St_Helena,0,export,cloths,0
1817,Broadcloth,Benkulen,0,export,cloths,0
1817,Broadcloth,China,242593,export,cloths,9954
1817,Broadcloth,Angola,0,export,cloths,0
1817,Broadcloth,Penang,0,export,cloths,0
1817,Broadcloth,Java,0,export,cloths,0
1818,Broadcloth,Bengal,20959,export,cloths,1277
1818,Broadcloth,Madras,0,export,cloths,0
1818,Broadcloth,Bombay,20394,export,cloths,1088
1818,Broadcloth,St_Helena,0,export,cloths,0
1818,Broadcloth,Benkulen,0,export,cloths,0
1818,Broadcloth,China,191593,export,cloths,9234
1818,Broadcloth,Angola,0,export,cloths,0
1818,Broadcloth,Penang,0,export,cloths,0
1818,Broadcloth,Java,0,export,cloths,0
1819,Broadcloth,Bengal,368,export,cloths,31
1819,Broadcloth,Madras,1400,export,cloths,60
1819,Broadcloth,Bombay,3131,export,cloths,177
1819,Broadcloth,St_Helena,0,export,cloths,0
1819,Broadcloth,Benkulen,0,export,cloths,0
1819,Broadcloth,China,174170,export,cloths,8814
1819,Broadcloth,Angola,0,export,cloths,0
1819,Broadcloth,Penang,0,export,cloths,0
1819,Broadcloth,Java,0,export,cloths,0
1820,Broadcloth,Bengal,43535,export,cloths,1977
1820,Broadcloth,Madras,0,export,cloths,0
1820,Broadcloth,Bombay,54728,export,cloths,2760
1820,Broadcloth,St_Helena,0,export,cloths,0
1820,Broadcloth,Benkulen,0,export,cloths,0
1820,Broadcloth,China,246831,export,cloths,12171
1820,Broadcloth,Angola,0,export,cloths,0
1820,Broadcloth,Penang,0,export,cloths,0
1820,Broadcloth,Java,0,export,cloths,0
1821,Broadcloth,Bengal,81804,export,cloths,5241
1821,Broadcloth,Madras,17242,export,cloths,1198
